id,method,requirement,node,gold,subject,tool,category,decision,callerT,callerN,callerE,calleeT,calleeN,calleeE
29,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R4,inner,N,N,N,InnerPureSurroundedN,CN,0,2,0,0,12,1
30,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R5,inner,T,T,T,InnerPureSurroundedT,CT,2,0,0,12,0,1
31,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R6,inner,T,T,T,InnerPureSurroundedT,CT,2,0,0,12,0,1
32,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R7,inner,N,N,N,InnerPureSurroundedN,CN,0,2,0,0,12,1
33,de.java_chess.javaChess.GameController.gameOver(Z)Z,R0,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
34,de.java_chess.javaChess.GameController.gameOver(Z)Z,R1,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,1,1,0
35,de.java_chess.javaChess.GameController.gameOver(Z)Z,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,2,0
36,de.java_chess.javaChess.GameController.gameOver(Z)Z,R3,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
37,de.java_chess.javaChess.GameController.gameOver(Z)Z,R4,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,1,1,0
38,de.java_chess.javaChess.GameController.gameOver(Z)Z,R5,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
39,de.java_chess.javaChess.GameController.gameOver(Z)Z,R6,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
40,de.java_chess.javaChess.GameController.gameOver(Z)Z,R7,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,2,0
41,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
42,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
43,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
44,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
45,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
46,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
47,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
48,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
49,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,3,0,0,0,0,0
50,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R1,leaf,N,N,N,LeafMixedSurroundedN,CN,0,3,0,0,0,0
51,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,3,0,0,0,0
52,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R3,leaf,T,T,T,LeafMixedSurroundedT,CT,3,0,0,0,0,0
53,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,3,0,0,0,0
54,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,3,0,0,0,0,0
55,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,3,0,0,0,0,0
56,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,3,0,0,0,0
57,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
58,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
59,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
60,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
61,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
62,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
63,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
64,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
65,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
66,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
67,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
68,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
69,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
70,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
71,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
72,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
73,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
74,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
75,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
76,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
77,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
78,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
79,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
80,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
81,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
82,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
83,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
84,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
85,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
86,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
87,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
88,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
89,de.java_chess.javaChess.GameController.reset()V,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
90,de.java_chess.javaChess.GameController.reset()V,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
91,de.java_chess.javaChess.GameController.reset()V,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
92,de.java_chess.javaChess.GameController.reset()V,R3,leaf,T,T,N,LeafPureSurroundedN,IT,0,1,0,0,0,0
93,de.java_chess.javaChess.GameController.reset()V,R4,leaf,N,N,F,LeafBoundary,IN,1,0,0,0,0,0
94,de.java_chess.javaChess.GameController.reset()V,R5,leaf,T,T,N,LeafPureSurroundedN,IT,0,1,0,0,0,0
95,de.java_chess.javaChess.GameController.reset()V,R6,leaf,T,T,N,LeafPureSurroundedN,IT,0,1,0,0,0,0
96,de.java_chess.javaChess.GameController.reset()V,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
97,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
98,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
99,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
100,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R3,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
101,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R4,leaf,N,N,F,LeafBoundary,IN,0,1,0,0,0,0
102,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R5,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
103,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R6,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
104,de.java_chess.javaChess.GameController.setBoard(Lde/java_chess/javaChess/board/Board;)V,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
105,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
106,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
107,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
108,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R3,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
109,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R4,leaf,N,N,F,LeafBoundary,IN,0,1,0,0,0,0
110,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R5,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
111,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R6,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
112,de.java_chess.javaChess.GameController.setEngine(Lde/java_chess/javaChess/engine/ChessEngine;)V,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
113,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
114,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
115,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
116,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R3,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
117,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R4,leaf,N,N,F,LeafBoundary,IN,0,1,0,0,0,0
118,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R5,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
119,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R6,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
120,de.java_chess.javaChess.GameController.setGame(Lde/java_chess/javaChess/game/Game;)V,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
121,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
122,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
123,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
124,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R3,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
125,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R4,leaf,N,N,F,LeafBoundary,IN,0,1,0,0,0,0
126,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R5,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
127,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R6,leaf,T,T,F,LeafBoundary,IT,1,0,0,0,0,0
128,de.java_chess.javaChess.GameController.setGameNotation(Lde/java_chess/javaChess/notation/GameNotation;)V,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
129,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R0,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,1,0,0
130,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R1,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,1,0
131,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,1,0
132,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R3,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,1,0,0
133,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R4,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,1,0
134,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R5,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,1,0,0
135,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R6,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,1,0,0
136,de.java_chess.javaChess.GameController.setGameTimer(Lde/java_chess/javaChess/timer/GameTimer;)V,R7,inner,N,N,F,InnerBoundary,IN,0,1,0,1,0,0
137,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
138,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
139,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
140,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R3,leaf,T,T,N,LeafPureSurroundedN,IT,0,1,0,0,0,0
141,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R4,leaf,N,N,T,LeafPureSurroundedT,IN,1,0,0,0,0,0
142,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R5,leaf,T,T,N,LeafPureSurroundedN,IT,0,1,0,0,0,0
143,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R6,leaf,T,T,N,LeafPureSurroundedN,IT,0,1,0,0,0,0
144,de.java_chess.javaChess.GameController.setRenderer(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
145,de.java_chess.javaChess.GameController.toggleMoveRight()V,R0,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,5,0,0
146,de.java_chess.javaChess.GameController.toggleMoveRight()V,R1,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,5,0
147,de.java_chess.javaChess.GameController.toggleMoveRight()V,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,5,0
148,de.java_chess.javaChess.GameController.toggleMoveRight()V,R3,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,5,0,0
149,de.java_chess.javaChess.GameController.toggleMoveRight()V,R4,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,5,0
150,de.java_chess.javaChess.GameController.toggleMoveRight()V,R5,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,5,0,0
151,de.java_chess.javaChess.GameController.toggleMoveRight()V,R6,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,5,0,0
152,de.java_chess.javaChess.GameController.toggleMoveRight()V,R7,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,3,2,0
